Group,Facet
a_twill,http://data.silknow.org/vocabulary/facet/twill
b_satin,http://data.silknow.org/vocabulary/facet/satin
c_tabby,http://data.silknow.org/vocabulary/facet/tabby
,
d_embroidery,http://data.silknow.org/vocabulary/facet/embroidery
e_velvet,http://data.silknow.org/vocabulary/facet/velvet
f_damask,http://data.silknow.org/vocabulary/facet/damask
g_ printed_fabric,http://data.silknow.org/vocabulary/facet/printed_fabric
k_patterned_fabric,http://data.silknow.org/vocabulary/facet/patterned_fabric
h_resist dyeing,http://data.silknow.org/vocabulary/facet/resist_dyeing
,
n_cannele,http://data.silknow.org/vocabulary/facet/cannele
,
r_effect,http://data.silknow.org/vocabulary/facet/effect
,
s_other_technique,http://data.silknow.org/vocabulary/facet/other_technique
