FACET,ID-ES,TERM-ES,SYNONYMS,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20,ES21,ES22,ES23,ES24,ES25,CAT 1,CAT 1,CAT 2,CAT 3,CAT4
http://data.silknow.org/vocabulary/facet/fabrics,1,tejido,"Tejido, Tejidos, Artes decorativas o suntuarias; Textiles. Confección, Tejidos: confección",,Tejido,Tejidos,Artes decorativas o suntuarias; Textiles. Confección,Tejidos: confección,,,,,,,,,,,,,,,,,,,,,peces tèxtils,teixits,teixit artístic,teixit
http://data.silknow.org/vocabulary/facet/fabrics,2,Bordados a la aguja,"Bordados, Bordados a la aguja, bordados, Bordado, Bordado, Labores, Bordados de aplicación",,Bordados,Bordados a la aguja,bordados,Bordado,Bordado,Labores,Bordados de aplicación,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/ornamental_fabrics,3,Tapices,"Tapices , Tapices",,Tapices ,Tapices,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/furniture,4,Mobiliario de asiento,Mobiliario,,Mobiliario,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,6,dibujo,Dibujo,,Dibujo,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume,7,Indumentaria ,Indumentaria,,Indumentaria,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,8,Terciopelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,9,Damasco,"Damasco con motivo de rayas, Dasmasco, damasco con motivos de rayas, damasco",,Damasco con motivo de rayas,Dasmasco,damasco con motivos de rayas,damasco,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,10,espolín,Espolín,,Espolín,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/point_paper_plan,11,Patrón,"carta sobre papel milimetrado polícromo, patrón sobre papel milimetrado políclomo, patrón polícromo, patrón sobre papel milimetrado monócromo, carta sobre papel milimetrado monócromo, patrón monócromo, patrón, Patrón monocromo, Patrón sobre papel milimitrado policromo, patrón monocromado, patrón policromado, Carta sobre papel milimitrado monócromo.",,carta sobre papel milimetrado polícromo,patrón sobre papel milimetrado políclomo,patrón polícromo,patrón sobre papel milimetrado monócromo,carta sobre papel milimetrado monócromo,patrón monócromo,patrón,Patrón monocromo,Patrón sobre papel milimitrado policromo,patrón monocromado,patrón policromado,Carta sobre papel milimitrado monócromo.,Patrón sobre papel milimitrado moncromo,Carta sobre papel milimitrado monocromo,Carta sobre papel cuadriculado polícromo,Carta sobre papel milimetrado polícromo.,carta,Carta sobre papel.,Puesta en carta,patrón sobre papel milimetrado monocromo,,,,,,,,
http://data.silknow.org/vocabulary/facet/religious_attire,12,Indumentaria litúrgica,"Textiles eclesiásticos, Indumentaria Religiosa , Indumentaria eclesiástica",,Textiles eclesiásticos,Indumentaria Religiosa ,Indumentaria eclesiástica,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/religious_accessories,13,Ornamentos religiosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/costume_accessories,14,abanicos; accesorios de indumentaria,"Accesorios de indumentaria; Abanicos; Heráldica, Accesorios de indumentaria; Colección de Arte Oriental; Abanicos, Abanicos ",,Accesorios de indumentaria; Abanicos; Heráldica,Accesorios de indumentaria; Colección de Arte Oriental; Abanicos,Abanicos ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/ornamental_fabrics,21,Alfombras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/festive_attire,26,disfraces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,27,dibujo para posterior calco (marcas punzón),"dibujo parcialmente para calco (marcas de punzón), dibujo parcialmente para posterior calco (marcas punzón), dibujo parcialmente para calco, dibujo para posterior calco (S.N.), dibujo para posterior dibujo (marcas de punzón), dibujo originado por calco sobre papel vegetal, Dibujo para calco, Dibujo para posterior calco (marcas punzón), dibujo originado por calco (marcas de punzón)",,,dibujo parcialmente para calco (marcas de punzón),dibujo parcialmente para posterior calco (marcas punzón),dibujo parcialmente para calco,dibujo para posterior calco (S.N.),,dibujo para posterior dibujo (marcas de punzón),dibujo originado por calco sobre papel vegetal,Dibujo para calco,Dibujo para posterior calco (marcas punzón),,dibujo originado por calco (marcas de punzón),dibujo parcialmente para posterior calco (marcas punzón),,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/sketch,28,Boceto con motivo floral,dibujo policromado,,dibujo policromado,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/sketch,29,grafito sobre papel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Fondo liso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,32,Brocatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/fabrics,33,Espolín y realce,"espolín realce, espolín realce, espolín, realce",espolín realce,espolín realce,"espolín, realce",,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,34,dibujo policromo,"dibujos policromos, dibujos polícromos, dibujos policromados, Carta sobre papel milimitrado polícromo, dibujo policromo., Dibujo Polícromo.",dibujos policromos,dibujos polícromos,dibujos policromados,Carta sobre papel milimitrado polícromo,dibujo policromo.,Dibujo Polícromo.,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/drawings,35,Dibujo monocromo,Dibujo monocromo.,Dibujo monocromo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.silknow.org/vocabulary/facet/womens_attire,36, Indumentaria femenina,"Indumentaria femenina, Indumentaria civil; Tejidos: confección; Mujer, Indumentaria civil; Tejidos: confección; Mujer",,Indumentaria femenina,Indumentaria civil; Tejidos: confección; Mujer,Indumentaria civil; Tejidos: confección; Mujer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
